#Hostname #occur Lat[ms]_mean Lat[ms]_med Lat[ms]_min Lat[ms]_max #ObjTOT BytesTOT
engine.adzerk.net 2 80.638 80.638 79.173 82.104 2 6938
fls-na.amazon.com 1 80.913 80.913 80.913 80.913 1 1061
same.chinadaily.com.cn 1 82.310 82.310 82.31 82.31 46 63196
aax-us-east.amazon-adsystem.com 1 82.415 82.415 82.415 82.415 2 3697
data.cnn.com 1 91.540 91.540 91.54 91.54 1 1215
log.outbrain.com 2 95.606 95.606 94.346 96.865 2 1324
odb.outbrain.com 1 96.817 96.817 96.817 96.817 1 7479
hpr.outbrain.com 1 97.052 97.052 97.052 97.052 1 9487
vrp.outbrain.com 6 98.345 94.158 94.067 119.365 6 7367
scontent.xx.fbcdn.net 4 98.809 123.556 1.968 146.156 19 130813
pmu.solution.weborama.fr 1 101.103 101.103 101.103 101.103 1 2698
www.facebook.com 19 101.554 101.631 2.042 159.797 37 247681
r.linter.fr 1 102.213 102.213 102.213 102.213 1 7707
vrt.outbrain.com 6 109.716 115.642 94.096 119.414 6 7860
scontent-a.cdninstagram.com 1 145.423 145.423 145.423 145.423 1 13019
ad.atdmt.com 2 149.590 149.590 149.442 149.738 3 18001
metrics.apple.com 1 152.276 152.276 152.276 152.276 1 2433
oz.cnzz.com 1 156.764 156.764 156.764 156.764 1 839
a5394beaee00c66fb0d1c248b708eb2e6.profile.gru1.cloudfront.net 1 221.942 221.942 221.942 221.942 2 1562
sync.ad-stir.com 1 248.869 248.869 248.869 248.869 1 1316
a8f90f8a81920bbf06d38d568518f0189.profile.nrt53.cloudfront.net 1 262.317 262.317 262.317 262.317 2 1551
cl2.webterren.com 1 271.937 271.937 271.937 271.937 2 6861
js.ptmind.com 1 294.056 294.056 294.056 294.056 3 2359
collect.ptengine.cn 1 360.410 360.410 360.41 360.41 1 1157
bbs.chinadaily.com.cn 1 361.567 361.567 361.567 361.567 5 508590
js.ptengine.cn 1 369.216 369.216 369.216 369.216 1 15738
c.wrating.com 1 389.796 389.796 389.796 389.796 2 3801
